-5104,15768,23,-0.00
-5908,15480,22,-0.03
-5692,14308,22,-0.07
-5572,16776,22,-0.08
-3292,16740,26,-0.02
-3344,14092,24,0.01
-1856,19288,27,0.11
76,19556,35,0.28
-1260,15520,46,0.48
400,18552,51,0.74
-820,16284,56,0.99
-832,16496,55,1.24
-408,16704,53,1.48
-988,16104,53,1.71
-1676,16424,45,1.89
-2896,16560,37,1.99
-2784,16008,31,2.07
-4092,17096,27,2.10
-4032,16264,25,2.12
-4280,16452,24,2.13
-3820,15384,22,2.13
-3608,16044,18,2.12
-3868,16204,14,2.09
-4040,14700,7,2.01
-2988,16332,1,1.93
-3200,16392,-2,1.84
-3280,16904,-7,1.72
-1196,16592,-10,1.63
-3252,16108,-9,1.50
-3252,17072,-5,1.39
-3620,16544,1,1.31
-4792,17464,9,1.24
-3752,17968,18,1.25
276,16636,22,1.35
-828,17140,23,1.44
-1944,17240,18,1.48
-1540,17676,18,1.52
-1320,16084,23,1.60
-2660,15360,28,1.66
-2684,18248,29,1.74
-932,15796,31,1.86
-1616,15004,34,1.98
-2432,15824,32,2.06
-2168,15372,32,2.16
-2784,16744,32,2.24
-2552,16716,30,2.32
-2816,16832,30,2.39
-2688,14692,26,2.43
-2204,17684,21,2.47
-2524,15924,19,2.49
-2992,16908,16,2.49
-1576,15596,10,2.48
-2448,15968,4,2.43
-1156,15244,-3,2.37
-2480,18252,-8,2.26
-2400,15848,-12,2.13
-4976,16428,-16,1.93
-2204,15732,-23,1.75
-3260,14840,-25,1.53
-4436,15472,-36,1.24
-4192,14680,-34,0.95
-5688,14768,-31,0.65
-1944,15916,-30,0.45
-2720,14332,-25,0.26
-2660,13992,-24,0.06
-1976,15080,-19,-0.08
-3440,16316,-15,-0.23
-2652,16156,-10,-0.34
-2800,14672,-3,-0.43
-2048,15220,4,-0.45
424,15060,11,-0.39
-1436,14252,21,-0.32
1612,14852,27,-0.14
-452,19324,40,0.05
-4996,15868,50,0.18
-200,16908,57,0.46
-3280,13648,65,0.69
-7636,25480,71,0.93
3484,26680,59,1.27
-484,11516,68,1.58
-2960,11272,61,1.78
428,21600,56,2.05
-4864,19876,62,2.25
-184,6440,63,2.54
-4812,14260,73,2.76
-4064,19840,73,3.03
116,8112,75,3.39
-3964,10192,70,3.57
-2388,16560,70,3.84
-7628,18688,69,4.01
-4124,15500,63,4.20
-2984,16588,61,4.41
-8524,17052,56,4.48
-6104,15204,40,4.51
-344,14272,34,4.64
-9804,18232,27,4.56
-6184,17276,13,4.46
-6404,13584,6,4.29
-9744,17884,-11,4.02
-6388,16124,-25,3.73
-6228,15696,-32,3.40
-7540,17352,-42,3.02
-6348,16220,-46,2.63
-5156,14940,-50,2.24
-5136,17444,-51,1.86
-6128,14912,-47,1.47
-1796,16176,-45,1.19
-2072,17540,-42,0.93
-2680,14496,-41,0.65
-2008,17020,-37,0.42
-740,16524,-22,0.29
204,18204,-8,0.25
576,17956,14,0.33
-712,15224,17,0.40
4060,15576,29,0.64
896,16436,42,0.86
2608,16184,44,1.13
320,17344,47,1.37
28,16004,43,1.57
588,16980,45,1.80
-972,16696,46,1.99
-1240,17368,43,2.17
-328,15540,42,2.35
-844,17220,43,2.53
-1344,15552,44,2.70
-1708,15284,42,2.85
-1728,17412,43,3.01
-2476,15200,44,3.14
-1644,16320,45,3.31
-1872,17792,44,3.47
-4852,17008,36,3.52
-1972,15984,31,3.60
-2984,19344,32,3.68
-2820,15888,29,3.73
-4444,16440,27,3.74
-2388,15828,20,3.76
-3284,16328,17,3.74
-6048,16952,4,3.61
-3256,16176,0,3.51
-4400,16312,2,3.40
-2692,16736,0,3.32
-2752,15632,3,3.24
-2980,16404,4,3.17
-2156,16012,4,3.12
-3160,16312,5,3.05
-1936,16828,5,3.01
-1680,15968,7,2.99
-1372,16392,8,2.98
-1308,16288,9,2.97
-1712,16244,7,2.95
-660,16316,6,2.94
-1168,16216,6,2.93
-920,16444,2,2.90
-700,16416,2,2.87
-576,16220,1,2.84
-508,16352,1,2.82
-632,16348,0,2.78
-536,16308,-1,2.75
-240,16364,-2,2.72
-480,16392,-2,2.68
-428,16524,-2,2.64
-208,16464,-2,2.61
-332,16356,-1,2.58
-244,16320,1,2.56
-64,16520,2,2.55
-544,16208,2,2.53
-352,16232,2,2.52
-452,16508,1,2.49
-396,16528,0,2.47
-388,16364,0,2.44
-400,16244,-1,2.41
-428,16364,-2,2.38
-404,16356,-2,2.34
-128,16268,-1,2.32
-564,16372,-2,2.28
-404,16416,-2,2.25
-344,16372,-3,2.21
-532,16196,-4,2.16
-356,16296,-4,2.12
-372,16224,-4,2.08
-500,16504,-5,2.03
-388,16408,-5,1.98
-340,16432,-5,1.93
-724,16332,-5,1.88
-252,16384,-6,1.83
-536,16252,-6,1.78
-592,16300,-6,1.72
-296,16428,-6,1.67
-584,16184,-5,1.62
-360,16400,-4,1.59
-364,16256,-2,1.56
-120,16200,1,1.55
-88,16272,5,1.56
-344,16372,8,1.58
-512,16428,10,1.61
120,16264,14,1.67
-80,16408,19,1.75
-328,16072,23,1.85
-192,16164,28,1.97
88,16488,33,2.12
40,15756,36,2.29
-452,16764,37,2.45
-644,16136,35,2.59
-528,16020,32,2.72
-904,16372,27,2.82
-232,16500,24,2.91
-576,16620,23,2.99
-176,16788,21,3.07
20,16408,20,3.15
-608,16840,17,3.20
-300,16480,12,3.23
-688,16448,7,3.23
-1644,16764,-3,3.16
-324,16472,-7,3.10
240,16348,-9,3.04
-300,16264,-8,2.97
-192,16504,-12,2.89
-800,16488,-13,2.78
-256,16072,-14,2.69
148,16276,-12,2.62
80,16272,-10,2.55
-8,16628,-9,2.49
96,16372,-7,2.44
40,16284,-5,2.40
-60,16340,-4,2.36
-436,16084,-5,2.31
-104,16392,-6,2.26
-212,16344,-6,2.22
12,16268,-6,2.17
-156,16240,-5,2.13
-152,16332,-6,2.08
-68,16324,-6,2.04
-96,16424,-6,1.99
-40,16480,-6,1.95
-80,16308,-6,1.90
-148,16300,-6,1.86
